Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
THE EDEN AT TAMPINES,23 Tampines Street 34  #06-09 ,1,80,Strata,470000,-,5875,546,4-May-09,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,HDB,18,52,529233,East Region,Tampines
EASTVALE,35 Pasir Ris Drive 3  #05-08 ,1,102,Strata,570000,-,5588,519,4-May-09,Executive Condominium,99 Yrs From 26/06/1996,1999,Resale,HDB,18,51,519493,East Region,Pasir Ris
SIMEI GREEN CONDOMINIUM,7 Simei Street 4  #03-07 ,1,111,Strata,635000,-,5721,531,4-May-09,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,Private,18,52,529864,East Region,Tampines
EASTVALE,35 Pasir Ris Drive 3  #07-01 ,1,112,Strata,637000,-,5688,528,30-Apr-09,Executive Condominium,99 Yrs From 26/06/1996,1999,Resale,Private,18,51,519493,East Region,Pasir Ris
THE EDEN AT TAMPINES,23 Tampines Street 34  #07-09 ,1,80,Strata,467000,-,5838,542,28-Apr-09,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,HDB,18,52,529233,East Region,Tampines
THE EDEN AT TAMPINES,25 Tampines Street 34  #06-20 ,1,80,Strata,480000,-,6000,557,25-Apr-09,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,Private,18,52,529234,East Region,Tampines
THE EDEN AT TAMPINES,23 Tampines Street 34  #03-08 ,1,94,Strata,530000,-,5638,524,24-Apr-09,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,HDB,18,52,529233,East Region,Tampines
SIMEI GREEN CONDOMINIUM,9 Simei Street 4  #10-05 ,1,116,Strata,628888,-,5421,504,23-Apr-09,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,HDB,18,52,529865,East Region,Tampines
SIMEI GREEN CONDOMINIUM,11 Simei Street 4  #01-06 ,1,130,Strata,625000,-,4808,447,13-Apr-09,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,HDB,18,52,529866,East Region,Tampines
SIMEI GREEN CONDOMINIUM,3 Simei Street 4  #03-06 ,1,90,Strata,500000,-,5556,516,13-Apr-09,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,HDB,18,52,529862,East Region,Tampines
SIMEI GREEN CONDOMINIUM,7 Simei Street 4  #07-05 ,1,116,Strata,620000,-,5345,497,9-Apr-09,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,Private,18,52,529864,East Region,Tampines
SIMEI GREEN CONDOMINIUM,1 Simei Street 4  #07-01 ,1,128,Strata,643000,-,5023,467,9-Apr-09,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,Private,18,52,529861,East Region,Tampines
